Должность,Компания,Доход,Адрес,Ссылка 
['Junior Data Scientist (Стажер)', 'Центр финансовых технологий', 'Не указана', 'Кемерово', 'https://ryazan.hh.ru/vacancy/73222512?from=vacancy_search_list&query=python']
['Data/Product Analyst (GameDev)', 'ООО Виэйинтеллидженс', 'Не указана', 'Алматы', 'https://ryazan.hh.ru/vacancy/72753998?from=vacancy_search_list&query=python']
['Python программист (Наставник онлайн-курса по Python)', 'Hexlet', 'до 80 000 руб.', 'Москва', 'https://ryazan.hh.ru/vacancy/67864415?from=vacancy_search_list&query=python']
['Тестировщик ПО (Python)', 'EFIX GROUP', 'до 250 000 руб.', 'Москва', 'https://ryazan.hh.ru/vacancy/73037104?from=vacancy_search_list&query=python']
['Middle+/Senior Backend Developer (Python)', 'ООО Платформа Сейлз Чейн', 'Не указана', 'Москва', 'https://ryazan.hh.ru/vacancy/72528614?from=vacancy_search_list&query=python']
['Python разработчик Middle+ для web3 / blockchain', 'CoinsGuru', '1 500 – 2 500 USD', 'Москва', 'https://ryazan.hh.ru/vacancy/73250741?from=vacancy_search_list&query=python']
['Senior Python Developer Remote (в аккредитованную ИТ компанию)', 'GRI', 'до 350 000 руб.', 'Москва', 'https://ryazan.hh.ru/vacancy/42615019?from=vacancy_search_list&query=python']
['Стажер Machine Learning Engineer (Python dev)', 'Сбер для экспертов', 'Не указана', 'Санкт-Петербург', 'https://ryazan.hh.ru/vacancy/72949899?from=vacancy_search_list&query=python']
['Python Developer (Django)', 'Рексофт', 'Не указана', 'Санкт-Петербург', 'https://ryazan.hh.ru/vacancy/73037370?from=vacancy_search_list&query=python']
['Data Engineer', 'Тинькофф', 'Не указана', 'Новосибирск', 'https://ryazan.hh.ru/vacancy/69870616?from=vacancy_search_list&query=python']
['Data Engineer (Middle)', 'DNS Головной офис', 'от 100 000 руб.', 'Владивосток', 'https://ryazan.hh.ru/vacancy/73363987?from=vacancy_search_list&query=python']
['SQL+Python developer (удаленно)', '«РОСБАНК»', 'Не указана', 'Москва', 'https://ryazan.hh.ru/vacancy/72189511?from=vacancy_search_list&query=python']
['Вирусный аналитик/Malware Analyst', 'ООО ЭНИ.РАН', 'Не указана', 'Ульяновск', 'https://ryazan.hh.ru/vacancy/73170087?from=vacancy_search_list&query=python']
['Middle Backend Developer (Python + Django)', 'Ronas IT', 'Не указана', 'Омск', 'https://ryazan.hh.ru/vacancy/72730387?from=vacancy_search_list&query=python']
['Разработчик Python / Django', 'АО ОКЕНИТ', 'Не указана', 'Санкт-Петербург', 'https://ryazan.hh.ru/vacancy/73019489?from=vacancy_search_list&query=python']
['Junior DevOps-инженер', 'Swordfish Security', 'до 150 000 руб.', 'Москва', 'https://ryazan.hh.ru/vacancy/71240763?from=vacancy_search_list&query=python']
['Разработчик службы мониторинга (стажер)', 'ООО "Сибинтек-Софт"', 'Не указана', 'Москва', 'https://ryazan.hh.ru/vacancy/73026370?from=vacancy_search_list&query=python']
['Аналитик-Разработчик Python/Groovy', 'Банк Открытие', 'Не указана', 'Москва', 'https://ryazan.hh.ru/vacancy/73199648?from=vacancy_search_list&query=python']
['Разработчик Python', 'ООО МСК ГРУПП ИС', '150 000 – 350 000 руб.', 'Москва', 'https://ryazan.hh.ru/vacancy/72748175?from=vacancy_search_list&query=python']
['Ведущий python-разработчик', 'МАГНИТ', 'Не указана', 'Краснодар', 'https://ryazan.hh.ru/vacancy/73191184?from=vacancy_search_list&query=python']
['Программист С++', 'ООО Медицинские Компьютерные Системы', '80 000 – 120 000 руб.', 'Зеленоград', 'https://ryazan.hh.ru/vacancy/73166429?from=vacancy_search_list&query=python']
['Разработчик автотестов на Python (Automation test engineer Python)', 'АО Инновации Безопасности', 'Не указана', 'Москва', 'https://ryazan.hh.ru/vacancy/73059088?from=vacancy_search_list&query=python']
['Middle Backend Developer (Python + Django)', 'Ronas IT', 'Не указана', 'Омск', 'https://ryazan.hh.ru/vacancy/72730387?from=vacancy_search_list&query=python']
['Senior BackEnd разработчик (Python)', 'ООО Верме', 'Не указана', 'Москва', 'https://ryazan.hh.ru/vacancy/71828662?from=vacancy_search_list&query=python']
['Инженер DevOps', 'SoftGamings', '2 900 – 4 000 EUR', 'Сербия', 'https://ryazan.hh.ru/vacancy/72127208?from=vacancy_search_list&query=python']
['QA Engineer / Тестировщик системного ПО', 'Протей', 'Не указана', 'Санкт-Петербург', 'https://ryazan.hh.ru/vacancy/72186209?from=vacancy_search_list&query=python']
['Python-разработчик', 'Сбер. IT', 'Не указана', 'Москва', 'https://ryazan.hh.ru/vacancy/72232161?from=vacancy_search_list&query=python']
['Разработчик Python (Middle+)', 'МЕТАШАРКС', '90 000 – 140 000 руб.', 'Москва', 'https://ryazan.hh.ru/vacancy/73097095?from=vacancy_search_list&query=python']
['Python Developer', 'TradingView', 'Не указана', 'Ростов-на-Дону', 'https://ryazan.hh.ru/vacancy/71079498?from=vacancy_search_list&query=python']
['Ведущий Python-developer', 'Тензор', '220 000 – 340 000 руб.', 'Тюмень', 'https://ryazan.hh.ru/vacancy/47897255?from=vacancy_search_list&query=python']
['Python-developer в AntiDDoS', 'WILDBERRIES', 'Не указана', 'Москва', 'https://ryazan.hh.ru/vacancy/73041312?from=vacancy_search_list&query=python']
['Программист Python', 'ООО МОТИВ', 'Не указана', 'Екатеринбург', 'https://ryazan.hh.ru/vacancy/70391903?from=vacancy_search_list&query=python']
['Data Engineer', 'АО Bereke Bank', 'Не указана', 'Алматы', 'https://ryazan.hh.ru/vacancy/73309043?from=vacancy_search_list&query=python']
['Computer Vision Engineer (Стажер)', 'Центр финансовых технологий', 'Не указана', 'Новосибирск', 'https://ryazan.hh.ru/vacancy/73227821?from=vacancy_search_list&query=python']
['Python разработчик', 'Сбер для экспертов', 'Не указана', 'Москва', 'https://ryazan.hh.ru/vacancy/72531047?from=vacancy_search_list&query=python']
['Senior Python developer', 'S8 Capital', 'до 400 000 руб.', 'Москва', 'https://ryazan.hh.ru/vacancy/72857936?from=vacancy_search_list&query=python']
['Middle/Senior Python-разработчик в команду Добычи данных', '2ГИС', 'Не указана', 'Екатеринбург', 'https://ryazan.hh.ru/vacancy/68116288?from=vacancy_search_list&query=python']
['Инженер по автоматизированному тестированию (Python)', 'Сбер. IT', 'Не указана', 'Нижний Новгород', 'https://ryazan.hh.ru/vacancy/72739171?from=vacancy_search_list&query=python']
['MLOps Engineer', 'АО Bereke Bank', 'Не указана', 'Алматы', 'https://ryazan.hh.ru/vacancy/73309006?from=vacancy_search_list&query=python']
['Middle DevOps Engineer (remote', 'Cartwheel', 'до 5 000 USD', 'Москва', 'https://ryazan.hh.ru/vacancy/73028680?from=vacancy_search_list&query=python']
['Python Tech Lead', 'Информационное агентство России ТАСС', 'Не указана', 'Москва', 'https://ryazan.hh.ru/vacancy/72008831?from=vacancy_search_list&query=python']
['QA Intern - Automation testing', 'a1qa', 'Не указана', 'Алматы', 'https://ryazan.hh.ru/vacancy/67363507?from=vacancy_search_list&query=python']
['ML Engineer / специалист Департамента розничных рисков', 'АЛЬФА-БАНК', 'Не указана', 'Минск', 'https://ryazan.hh.ru/vacancy/72341512?from=vacancy_search_list&query=python']
['IOS/Android developer', 'ООО ЕВР', 'от 200 000 руб.', 'Краснодар', 'https://ryazan.hh.ru/vacancy/72938288?from=vacancy_search_list&query=python']
['Senior Python developer (Ds направление)', 'Домклик', 'Не указана', 'Москва', 'https://ryazan.hh.ru/vacancy/72465827?from=vacancy_search_list&query=python']
['Python developer', 'CoMagic.dev', 'Не указана', 'Москва', 'https://ryazan.hh.ru/vacancy/67445757?from=vacancy_search_list&query=python']
['Data Engineer', 'ООО Апптимизм', '175 000 – 250 000 руб.', 'Москва', 'https://ryazan.hh.ru/vacancy/72209210?from=vacancy_search_list&query=python']
['Computer Vision Engineer', 'ТОО Smart Parking Technologies', 'Не указана', 'Алматы', 'https://ryazan.hh.ru/vacancy/72463033?from=vacancy_search_list&query=python']
['Backend Developer (Python', 'ООО ЭджАм', 'Не указана', 'Армения', 'https://ryazan.hh.ru/vacancy/73168901?from=vacancy_search_list&query=python']
['Инженер по автоматизированному тестированию (Python) (CERT)', 'Positive Technologies', 'Не указана', 'Москва', 'https://ryazan.hh.ru/vacancy/73025537?from=vacancy_search_list&query=python']
['Junior DevOps-инженер', 'Swordfish Security', 'до 150 000 руб.', 'Москва', 'https://ryazan.hh.ru/vacancy/71240763?from=vacancy_search_list&query=python']
['Python разработчик в CM.Expert (Яндекс Вертикали)', 'Яндекс', 'Не указана', 'Сербия', 'https://ryazan.hh.ru/vacancy/72468075?from=vacancy_search_list&query=python']
['DevOps инженер', 'ЗАЗЕКС', 'от 80 000 руб.', 'Ростов-на-Дону', 'https://ryazan.hh.ru/vacancy/72659369?from=vacancy_search_list&query=python']
['Middle/Senior Python-разработчик в команду Добычи данных', '2ГИС', 'Не указана', 'Новосибирск', 'https://ryazan.hh.ru/vacancy/66066364?from=vacancy_search_list&query=python']
['Data-инженер/Дата-инженер/Инженер данных', 'Синергетик', 'Не указана', 'Москва', 'https://ryazan.hh.ru/vacancy/72078791?from=vacancy_search_list&query=python']
['DevOps (FinTech) || Remote', 'ООО Пэйлер', '200 000 – 250 000 руб.', 'Москва', 'https://ryazan.hh.ru/vacancy/72881401?from=vacancy_search_list&query=python']
