Должность,Компания,Доход,Адрес,Ссылка 
['Python-разработчик', 'Сбер. IT', 'Не указана', 'Москва', 'https://ryazan.hh.ru/vacancy/71274758?from=vacancy_search_list&query=python']
['Python Developer / Data Engineer', 'Smart Design', 'Не указана', 'Санкт-Петербург', 'https://ryazan.hh.ru/vacancy/72030262?from=vacancy_search_list&query=python']
['Data scientist', 'АО Московский ювелирный завод', 'Не указана', 'Москва', 'https://ryazan.hh.ru/vacancy/71883843?from=vacancy_search_list&query=python']
['Data analyst CVM / Аналитик данных CVM', 'АО Банк ЦентрКредит', 'Не указана', 'Алматы', 'https://ryazan.hh.ru/vacancy/72528452?from=vacancy_search_list&query=python']
['Преподаватель BIG DATA (Data Engineer/Python developer)', 'ООО Учебный центр Коммерсант', '150 000 – 300 000 руб.', 'Томск', 'https://ryazan.hh.ru/vacancy/72178743?from=vacancy_search_list&query=python']
['Middle DevOps Engineer (remote', 'Cartwheel', 'до 5 000 USD', 'Москва', 'https://ryazan.hh.ru/vacancy/73028680?from=vacancy_search_list&query=python']
['Программист Python', 'ООО МОТИВ', 'Не указана', 'Екатеринбург', 'https://ryazan.hh.ru/vacancy/70391903?from=vacancy_search_list&query=python']
['Преподаватель по курсу Python', 'ООО Творческое образование', 'Не указана', 'Новосибирск', 'https://ryazan.hh.ru/vacancy/73141124?from=vacancy_search_list&query=python']
['Middle Python/Go developer (офис)', 'Сайтсофт', 'до 200 000 руб.', 'Екатеринбург', 'https://ryazan.hh.ru/vacancy/71379712?from=vacancy_search_list&query=python']
['Middle Backend Developer (Python)', 'ООО Объединение когнитивных ассоциативных систем', '100 000 – 200 000 руб.', 'Тюмень', 'https://ryazan.hh.ru/vacancy/72808987?from=vacancy_search_list&query=python']
['Backend Engineer (Kotlin/C++/Python) at Joompay (to Lisbon)', 'Joom', 'от 330 000 руб.', 'Москва', 'https://ryazan.hh.ru/vacancy/69354389?from=vacancy_search_list&query=python']
['Исследователь/математик-программист', 'CityAir', 'от 80 000 руб.', 'Новосибирск', 'https://ryazan.hh.ru/vacancy/72018743?from=vacancy_search_list&query=python']
['Python Developer (Extranet Team)', 'Emerging Travel Group (Ostrovok.ru', 'Не указана', 'Москва', 'https://ryazan.hh.ru/vacancy/73131612?from=vacancy_search_list&query=python']
['Data scientist', 'ЗАО Банк ВТБ (Беларусь). IT-направление', 'Не указана', 'Минск', 'https://ryazan.hh.ru/vacancy/71947805?from=vacancy_search_list&query=python']
['Junior ML Engineer', 'Сбер для экспертов', 'Не указана', 'Москва', 'https://ryazan.hh.ru/vacancy/73036349?from=vacancy_search_list&query=python']
['Python Developer Big Data', 'Альфа-Банк. Digital & IT', 'Не указана', 'Москва', 'https://ryazan.hh.ru/vacancy/73026500?from=vacancy_search_list&query=python']
['Python developer', 'ООО АйТи Мегастар', '80 000 – 180 000 руб.', 'Новосибирск', 'https://ryazan.hh.ru/vacancy/72022422?from=vacancy_search_list&query=python']
['Программист SQL', 'ЖИЛФОНД', '90 000 – 160 000 руб.', 'Новосибирск', 'https://ryazan.hh.ru/vacancy/72860936?from=vacancy_search_list&query=python']
['Ведущий Python-developer', 'Тензор', '220 000 – 340 000 руб.', 'Тюмень', 'https://ryazan.hh.ru/vacancy/47897255?from=vacancy_search_list&query=python']
['Продуктовый аналитик', 'HR Prime', 'от 240 000 руб.', 'Москва', 'https://ryazan.hh.ru/vacancy/72142221?from=vacancy_search_list&query=python']
['Data Scientist', 'ФОНБЕТ', 'Не указана', 'Москва', 'https://ryazan.hh.ru/vacancy/73042740?from=vacancy_search_list&query=python']
['Разработчик Python (Django)', 'Электронная торговая площадка Газпромбанка', 'Не указана', 'Москва', 'https://ryazan.hh.ru/vacancy/71715073?from=vacancy_search_list&query=python']
['Python developer (Machine Learning Engineer)', 'Сбер. Data Science', 'Не указана', 'Москва', 'https://ryazan.hh.ru/vacancy/72074865?from=vacancy_search_list&query=python']
['Data-инженер', 'Тинькофф', 'Не указана', 'Воронеж', 'https://ryazan.hh.ru/vacancy/71326508?from=vacancy_search_list&query=python']
['Разработчик автотестов (Python)', 'Auriga', 'Не указана', 'Нижний Новгород', 'https://ryazan.hh.ru/vacancy/73145240?from=vacancy_search_list&query=python']
['Data Scientist (Аналитик)', 'ООО МКК Срочноденьги', 'Не указана', 'Нижний Новгород', 'https://ryazan.hh.ru/vacancy/73022227?from=vacancy_search_list&query=python']
['Ведущий разработчик Python', 'ООО НИЦ Стратком', '150 000 – 250 000 руб.', 'Москва', 'https://ryazan.hh.ru/vacancy/71929125?from=vacancy_search_list&query=python']
['Data Scientist (команда Поиска)', 'ООО HeadHunter::Analytics/Data Science', 'от 350 000 руб.', 'Москва', 'https://ryazan.hh.ru/vacancy/71426958?from=vacancy_search_list&query=python']
['Middle+ / Senior Data Engineer', 'КИБЕР-РОМ', 'от 200 000 руб.', 'Москва', 'https://ryazan.hh.ru/vacancy/69475611?from=vacancy_search_list&query=python']
['QA Engineer (Python + pytest)', 'EXANTE', 'Не указана', 'Тбилиси', 'https://ryazan.hh.ru/vacancy/71202910?from=vacancy_search_list&query=python']
['Инженер-программист (алгоритмист)', 'АО НТЦ Модуль', 'Не указана', 'Москва', 'https://ryazan.hh.ru/vacancy/71770772?from=vacancy_search_list&query=python']
['Аналитик данных / Data Scientist (Middle)', 'Дром', 'Не указана', 'Томск', 'https://ryazan.hh.ru/vacancy/73052704?from=vacancy_search_list&query=python']
['Data-analyst', 'Employcity', 'Не указана', 'Москва', 'https://ryazan.hh.ru/vacancy/71232983?from=vacancy_search_list&query=python']
['Python Developer', 'Компания RAIDIX', 'Не указана', 'Санкт-Петербург', 'https://ryazan.hh.ru/vacancy/70095702?from=vacancy_search_list&query=python']
['Senior python developer', 'Wanted', 'до 350 000 руб.', 'Санкт-Петербург', 'https://ryazan.hh.ru/vacancy/72738599?from=vacancy_search_list&query=python']
['Python Developer', 'ТОО InformConsulting', 'Не указана', 'Алматы', 'https://ryazan.hh.ru/vacancy/71944245?from=vacancy_search_list&query=python']
['Программист Python (middle)', 'CDNvideo (ООО СДН-видео)', 'до 160 000 руб.', 'Москва', 'https://ryazan.hh.ru/vacancy/72543621?from=vacancy_search_list&query=python']
['Python разработчик', 'Holyweb', 'Не указана', 'Санкт-Петербург', 'https://ryazan.hh.ru/vacancy/72786248?from=vacancy_search_list&query=python']
['Разработчик Python (искусственный интеллект)', 'Корпорация ЭЛАР', 'Не указана', 'Москва', 'https://ryazan.hh.ru/vacancy/72816971?from=vacancy_search_list&query=python']
['Data Analyst', 'ООО Моризо Диджитал', 'Не указана', 'Нижний Новгород', 'https://ryazan.hh.ru/vacancy/71830065?from=vacancy_search_list&query=python']
