Должность,Компания,Доход,Адрес,Ссылка 
['Упаковщик/упаковщица чая', 'Альфакон', '89 100 – 118 800 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/73387303?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Менеджер по продажам', 'ООО Торговый Дом Игротрейд', 'Не указана', 'Владимир', 'https://ryazan.hh.ru/vacancy/72058816?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Менеджер на подтверждение заказов с сайта (удалённо)', 'ООО Телесейлз сервис', 'от 30 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/72549497?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Оператор линии упаковки', 'ООО ЗВК БЕРВЕЛ', 'от 35 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/73345016?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Специалист отдела гарантии', 'СИТИЛИНК', '37 000 – 40 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/72741385?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Продавец-кассир (Рязань', 'Пятёрочка. Магазины', '32 500 – 38 500 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/68306553?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Упаковщик-комплектовщик на автомобильный завод (Тульская область)', 'ООО Lerteco', '81 000 – 153 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/72120862?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Монтажник слаботочных систем', 'ООО КорНет', 'от 50 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/73400007?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Рекрутер', 'FINIST финансы и страхование', 'от 32 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/70902773?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Бухгалтер', 'ООО РЗН ФУД', 'от 30 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/73390798?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Продавец консультант магазина Магнит Косметик (г. Рязань)', 'МАГНИТ', '23 000 – 31 900 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/66200089?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Мастер по изготовлению и ремонту очков', 'ООО СОНТИНА', 'от 30 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/71141267?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Сервис-менеджер', 'Комус', '32 000 – 40 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/68646801?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Водитель-менеджер', 'ООО Престиж', '50 000 – 90 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/72344069?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Продавец (молочные продукты)', 'Глобус', '47 078 – 54 139 руб.', 'Москва', 'https://ryazan.hh.ru/vacancy/73345585?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Продавец производства (ул. 12-й район)', 'Лента', '24 000 – 31 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/71396093?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Водитель-курьер', 'ТОМАТО', 'от 45 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/73073708?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Менеджер по продажам / Менеджер по работе с клиентами', 'ИП Пасько Денис Олегович', '40 000 – 90 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/73347459?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Продавец-консультант', 'ООО Бриг', '40 000 – 50 000 руб.', 'Москва', 'https://ryazan.hh.ru/vacancy/72234796?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Ассистент территориального менеджера / Аналитик', 'АО КОНТИ- РУС', 'Не указана', 'Рязань', 'https://ryazan.hh.ru/vacancy/73380409?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Инженер-сметчик', 'ООО Металлостройконструкция', 'от 45 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/72681295?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Кассир (ТЦ Премьер)', 'Снежная Королева', 'от 32 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/69792442?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Продавец-кассир (Рязань', 'Пятёрочка. Магазины', '32 500 – 38 500 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/73263580?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Работник склада (водитель автопогрузчика)', 'ООО Стикоф', 'от 40 000 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/73125036?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
['Специалист отдела рекламы и маркетинга', 'ООО ЖИВАГО БАНК', '27 500 – 27 500 руб.', 'Рязань', 'https://ryazan.hh.ru/vacancy/73039665?from=vacancy_search_list&query=%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%8C']
